database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	YK.RM.1	YK.RM.2	YK.RM.3	YK.RM.4	YK.RM.5	YK.RM.6	YK.RM.7	YK.RM.15	YK.RM.16	YK.RM.17	YK.RM.18	YK.RM.19	YK.RM.20	YK.RM.21	QC1	QC2	QC3	QC4	QC5
				L-Norleucine	132.1021163				285.719			BiotreeDB									5818808.747	10108407.14	6614580.507	1089304.926	6707596.171	2667822.571	4011241.367	940632.0172	2372915.352	1068593.682	3454784.866	746783.441	1274318.651	2025861.69	7616554.318	7305637.502	7255433.115	6830071.791	7099196.767
				Prolyl-Valine	215.1394474				366.248			BiotreeDB									14575587.82	412049.0162	2596197.318	274216.284	625637.7924	671488.5136	555756.7686	85599.42184	409641.1076	1260571.441	673879.9519	23755832.41	1979780.388	2083067.575	6212522.628	2988977.389	2678453.822	2668189.928	2695368.246
				Artemoin A	551.5036702				171.657			BiotreeDB									7307048.169	9224137.557	9084888.373	8273795.939	8654666.384	12901747.98	1451748.159	7681661.038	26635599.44	4585356.753	4818858.68	1738645.735	14378757.84	17283402.25	11000516.87	9475637.479	9012178.855	9353034.182	8920761.231
				L-Arginine	175.1191064				535.427			BiotreeDB									3738348.333	4146539.7	4737516.55	3321984.018	5161647.851	4498717.284	1782323.061	963062.1187	874772.7393	1093480.005	965032.0042	192489.7942	903966.2359	814806.9237	4184876.728	3794128.632	3764407.158	3655833.141	3747521.905
				5-Aminopentanal	102.0917636				335.261			BiotreeDB									9217023.246	7994454.979	10851106.86	10011130.98	11130677.02	10838556.26	4281798.218	7945592.868	7245914.388	9273508.282	11137985.2	2544031.832	8041788.135	7490306.626	10655737.12	9795279.662	9309742.131	9286639.697	9020032.376
				Anhydrocinnzeylanol	367.2090266				138.21			BiotreeDB									504159.1039	103793.779	63613.55462	27038.33932	299023.3608	28554.23	12387.07825	3637921.807	6365406.15	1233973.592	3577644.837	152176.1586	4010049.343	2552842.669	2387023.818	1058466.162	1026926.903	1160457.514	1144870.348
				3-[(3-Methylbutyl)nitrosoamino]-2-butanone	187.1443571				359.731			BiotreeDB									11903468.81	2091894.536	1267659.21	4096027.647	2923782.628	1817417.646	438789.9479	2112465.016	2652908.141	1070561.383	1786971.182	876547.9495	435365.5776	1819620.617	4938873.585	3219197.711	3098389.031	3755039.298	2880953.411
				Taurine	126.022267				310.463			BiotreeDB									9697879.037	7786429.654	7688013.683	10961247.41	9027388.869	11888277.21	3249429.614	6992705.072	5174145.6	5974589.305	10532027.79	2496360.449	14332982.59	8229469.905	15597284.63	8462838.431	8115859.439	6769910.708	7804673.487
				[7]-Paradol	293.2114295				35.2941			BiotreeDB									4841059.294	3704692.698	4308514.89	3487649.038	3122781.625	6294683.359	1072937.85	2922273.27	1235041.555	1879054.65	2037204.589	490788.8185	1709530.199	6325605.009	4982434.846	3264062.721	10629906.47	10657799.09	3176528.042
				Pi-Methylimidazoleacetic acid	141.0661697				320.489			BiotreeDB									4386218.38	7500415.329	6256987.044	5598136.35	8123238.703	5908814.58	2941765.615	5399502.548	4024006.162	3060738.574	5073963.772	976280.2641	3801683.22	3765352.681	4591601.023	4701481.806	4382467.243	4375881.62	4349636.141
